State,Year,Forecasted_CVD_Incidences,Lower_80,Upper_80,Lower_95,Upper_95
Gujarat,2024,511928.23100341484,502665.94726778753,521190.51473904215,497762.79043551534,526093.6715713143
Gujarat,2025,525858.7543474848,515712.43087545224,536005.0778195173,510341.29167541006,541376.2170195595
Gujarat,2026,539789.2776915547,528829.9957808193,550748.5596022902,523028.50237906486,556550.0530040447
Gujarat,2027,553719.8010356247,542003.8358598986,565435.7662113508,535801.7785339,571637.8235373494
Gujarat,2028,567650.3243796946,555223.6667438427,580076.9820155466,548645.3915550607,586655.2572043285
Gujarat,2029,581580.8477237646,568482.0004462927,594679.6950012365,561547.8895556511,601613.8058918781
Gujarat,2030,595511.3710678347,581773.1841423927,609249.5579932766,574500.6272860947,616522.1148495746
Haryana,2020,186886.35746543715,185308.9613058169,188463.7536250574,184473.93821885483,189298.77671201946
Haryana,2021,191917.89835009427,189687.12330792408,194148.67339226446,188506.2223334477,195329.57436674085
Haryana,2022,196949.4392347514,194217.3089426251,199681.5695268777,192771.00653051378,201127.871938989
Haryana,2023,201980.98011940852,198826.187800168,205135.77243864903,197156.1416262439,206805.81861257314
Haryana,2024,207012.52100406564,203485.35596370764,210539.68604442364,201618.18757847874,212406.85442965254
Haryana,2025,212044.06188872276,208180.24617542737,215907.87760201815,206134.86568892666,217953.25808851887
Haryana,2026,217075.60277337988,212902.20481599635,221249.00073076342,210692.94138889728,223458.2641578625
Haryana,2027,222107.143658037,217645.59357369662,226568.6937423774,215283.7916247438,228930.4956913302
Haryana,2028,227138.68454269416,222406.4960638334,231870.87302155493,219901.42680294722,234375.9422824411
Haryana,2029,232170.22542735128,227182.06079054874,237158.39006415382,224541.4859369238,239798.96491777877
Haryana,2030,237201.7663120084,231970.13510480046,242433.39751921635,229200.676834063,245202.8557899538
Himachal Pradesh,2020,58337.19546924677,58220.74899099829,58453.64194749525,58159.10594898891,58515.28498950463
Himachal Pradesh,2021,59946.56951237905,59781.88932354947,60111.24970120863,59694.71289751387,60198.42612724423
Himachal Pradesh,2022,61555.94355551132,61354.252338822494,61757.63477220015,61247.48345812914,61864.4036528935
Himachal Pradesh,2023,63165.317598643596,62932.42464214664,63398.210555140555,62809.13855812788,63521.49663915931
Himachal Pradesh,2024,64774.69164177587,64514.30940067182,65035.07388287992,64376.47136839897,65172.91191515277
Himachal Pradesh,2025,66384.06568490814,66098.83123085527,66669.30013896101,65947.83723173934,66820.29413807695
Himachal Pradesh,2026,67993.43972804042,67685.35130554566,68301.52815053519,67522.25914633133,68464.62030974952
Himachal Pradesh,2027,69602.81377117269,69273.45339351353,69932.17414883185,69099.10054144233,70106.52700090305
Himachal Pradesh,2028,71212.18781430495,70862.84837955952,71561.52724905038,70677.91925353138,71746.45637507853
Himachal Pradesh,2029,72821.56185743723,72453.32576066679,73189.79795420768,72258.3933460157,73384.73036885877
Himachal Pradesh,2030,74430.93590056952,74044.72662406103,74817.145177078,73840.2797827798,75021.59201835922
Jammu & Kashmir and Ladakh,2020,80707.14735629359,80436.4297583342,80977.86495425297,80293.12051863286,81121.17419395431
Jammu & Kashmir and Ladakh,2021,82554.48015164248,81949.13719989984,83159.82310338512,81628.6879981238,83480.27230516115
Jammu & Kashmir and Ladakh,2022,84401.81294699137,83388.88044685693,85414.74544712581,82852.66637153544,85950.9595224473
Jammu & Kashmir and Ladakh,2023,86249.14574234026,84766.36439118056,87731.92709349997,83981.42735834714,88516.86412633338
Jammu & Kashmir and Ladakh,2024,88096.47853768915,86088.78309727258,90104.17397810573,85025.97333061263,91166.98374476568
Jammu & Kashmir and Ladakh,2025,89943.81133303804,87361.33004096913,92526.29262510696,85994.24702420541,93893.37564187068
Jammu & Kashmir and Ladakh,2026,91791.14412838694,88587.9703119533,94994.31794482058,86892.31252049627,96689.9757362776
Jammu & Kashmir and Ladakh,2027,93638.47692373583,89771.85622338782,97505.09762408384,87724.99086643572,99551.96298103593
Jammu & Kashmir and Ladakh,2028,95485.80971908472,90915.57065686963,100056.0487812998,88496.23223854601,102475.38719962342
Jammu & Kashmir and Ladakh,2029,97333.14251443361,92021.27967073304,102645.00535813418,89209.34933718023,105456.93569168699
Jammu & Kashmir and Ladakh,2030,99180.4753097825,93090.83352807484,105270.11709149016,89867.17189555329,108493.77872401172
Jharkhand,2020,210901.00596744093,210116.803526471,211685.20840841086,209701.67183043621,212100.34010444564
Jharkhand,2021,217799.5077040709,216045.97773794085,219553.03767020092,215117.7150459923,220481.30036214946
Jharkhand,2022,224698.00944070084,221763.79258471954,227632.22629668214,220210.512007767,229185.50687363467
Jharkhand,2023,231596.5111773308,227301.25751163234,235891.76484302926,225027.4875690961,238165.5347855655
Jharkhand,2024,238495.01291396076,232679.2119576628,244310.81387025872,229600.51290158427,247389.51292633725
Jharkhand,2025,245393.51465059072,237912.70014770993,252874.3291534715,233952.59616172718,256834.43313945425
Jharkhand,2026,252292.01638722068,243013.20797346148,261570.82480097987,238101.3035049911,266482.72926945024
Jharkhand,2027,259190.51812385063,247989.86691249989,270391.1693352014,242060.60032119596,276320.4359265053
Jharkhand,2028,266089.01986048056,252850.15893891285,279327.8807820483,245841.92930226267,286336.11041869846
Jharkhand,2029,272987.5215971105,257600.3585920945,288374.6846021265,249454.88652810134,296520.15666611964
Jharkhand,2030,279886.0233337404,262245.8256301391,297526.22103734175,252907.669041354,306864.3776261268
Karnataka,2020,505508.6691479338,502750.5777835156,508266.76051235193,501290.53240988276,509726.8058859848
Karnataka,2021,516650.7559334196,510483.47615442553,522818.0357124137,507218.71544874826,526082.7964180909
Karnataka,2022,527792.8427189055,517473.00979183294,538112.6756459781,512010.02023455437,543575.6652032568
Karnataka,2023,538934.9295043915,523828.24094487133,554041.6180639117,515831.2430836734,562038.6159251096
Karnataka,2024,550077.0162898775,529622.463285808,570531.569293947,518794.47699478077,581359.5555849742
Karnataka,2025,561219.1030753634,534908.5883392832,587529.6178114436,520980.6431617246,601457.5629890023
Karnataka,2026,572361.1898608494,539727.0127388978,604995.366982801,522451.52290418244,622270.8568175164
Karnataka,2027,583503.2766463354,544109.8524895868,622896.700803084,523256.2334131381,643750.3198795327
Karnataka,2028,594645.3634318213,548083.4221844226,641207.3046792201,523435.0193857819,665855.7074778609
Karnataka,2029,605787.4502173073,551669.7897895504,659905.1106450643,523021.6308638756,688553.269570739
Karnataka,2030,616929.5370027933,554887.8059253496,678971.268080237,522044.8973834467,711814.1766221399
Kerala,2020,361380.77501959226,358056.2221586862,364705.3278804983,356296.3101823881,366465.2398567964
Kerala,2021,369279.2709113615,364577.6431666419,373980.8986560811,362088.7517811783,376469.7900415447
Kerala,2022,377177.76680313074,371419.47233559296,382936.0612706685,368371.2153757957,385984.31823046575
Kerala,2023,385076.26269490004,378427.1569730879,391725.36841671215,374907.3330204917,395245.1923693084
Kerala,2024,392974.7585866693,385540.83239489194,400408.6847784466,381605.5495814734,404343.96759186516
Kerala,2025,400873.2544784385,392729.79634630866,409016.7126105684,388418.9100121652,413327.59894471185
Kerala,2026,408771.75037020777,399975.810279762,417567.6904606535,395319.52086111304,422223.9798793025
Kerala,2027,416670.246261977,407266.99077253777,426073.50175141625,402289.20800161053,431051.2845223435
Kerala,2028,424568.7421537463,414595.08357102814,434542.4007364645,409315.3476421338,439822.1366653588
Kerala,2029,432467.23804551555,421954.07880342344,442980.39728760766,416388.7484769132,448545.7276141179
Kerala,2030,440365.7339372848,429339.4395019568,451392.0283726128,423502.47181252314,457228.99606204644
Madhya Pradesh,2020,491755.5532657656,490698.2666387144,492812.8398928168,490138.57290690223,493372.53362462897
Madhya Pradesh,2021,505578.6797149762,504083.4506276847,507073.90880226775,503291.92416138074,507865.4352685717
Madhya Pradesh,2022,519401.8061641869,517570.5320079711,521233.08032040275,516601.1140277946,522202.4983005792
Madhya Pradesh,2023,533224.9326133975,531110.3593592951,535339.5058674999,529990.9718956708,536458.8933311242
Madhya Pradesh,2024,547048.0590626082,544683.8942928202,549412.2238323961,543432.3810619077,550663.7370633086
Madhya Pradesh,2025,560871.1855118189,558281.372763675,563460.9982599627,556910.4087085013,564831.9623151365
Madhya Pradesh,2026,574694.3119610294,571896.9944813376,577491.6294407212,570416.184056601,578972.4398654578
Madhya Pradesh,2027,588517.4384102401,585526.9802356571,591507.8965848231,583943.9273030491,593090.9495174311
Madhya Pradesh,2028,602340.5648594508,599168.7049782972,605512.4247406044,597489.6237828607,607191.5059360409
Madhya Pradesh,2029,616163.6913086614,612820.2574275426,619507.1251897801,611050.3504428967,621277.032174426
Madhya Pradesh,2030,629986.8177578719,626480.1947200827,633493.4407956612,624623.900614148,635349.7349015959
Maharashtra,2020,916066.4948591456,912190.5616287849,919942.4280895063,910138.7665162282,921994.223202063
Maharashtra,2021,940851.3636001531,935369.9662589245,946332.7609413818,932468.2897835359,949234.4374167704
Maharashtra,2022,965636.2323411608,958922.9190594315,972349.54562289,955369.1056777617,975903.3590045598
Maharashtra,2023,990421.1010821683,982669.2346214469,998172.9675428896,978565.6443963334,1002276.5577680032
Maharashtra,2024,1015205.9698231758,1006539.119643839,1023872.8200025127,1001951.1662962602,1028460.7733500914
Maharashtra,2025,1039990.8385641833,1030496.7798727023,1049484.8972556642,1025470.9287902019,1054510.7483381648
Maharashtra,2026,1064775.7073051909,1054520.9518793651,1075030.4627310166,1049092.4122702824,1080459.0023400993
Maharashtra,2027,1089560.5760461986,1078597.7813637413,1100523.370728656,1072794.428412964,1106326.723679433
Maharashtra,2028,1114345.4447872061,1102717.6450961241,1125973.244478288,1096562.2597584538,1132128.6298159584
Maharashtra,2029,1139130.3135282136,1126873.5364615398,1151387.0905948875,1120385.1906138589,1157875.4364425684
Maharashtra,2030,1163915.1822692212,1151060.1660316447,1176770.1985067977,1144255.131496609,1183575.2330418334
Manipur,2020,20619.15562791533,20555.281565251968,20683.029690578693,20521.468678960413,20716.842576870247
Manipur,2021,21300.86054115616,21210.52897545376,21391.192106858558,21162.71033307727,21439.010749235047
Manipur,2022,21982.565454396987,21871.932332578202,22093.19857621577,21813.366695570687,22151.764213223287
Manipur,2023,22664.270367637815,22536.522242311086,22792.018492964544,22468.896469727984,22859.644265547646
Manipur,2024,23345.975280878643,23203.14853476428,23488.802026993006,23127.5406225009,23564.409939256388
Manipur,2025,24027.680194119475,23871.221332795674,24184.139055443276,23788.397014650625,24266.963373588325
Manipur,2026,24709.385107360304,24540.39022232569,24878.37999239492,24450.929734088935,24967.840480631672
Manipur,2027,25391.090020601132,25210.426889196337,25571.753152005927,25114.78960444335,25667.390436758913
Manipur,2028,26072.794933841964,25881.172745851873,26264.417121832055,25779.734086977216,26365.855780706712
Manipur,2029,26754.499847082792,26552.51232565824,26956.487368507343,26445.586590712654,27063.41310345293
Manipur,2030,27436.20476032362,27224.358460633593,27648.051060013648,27112.213803725565,27760.195716921677
Meghalaya,2020,14955.8189099866,14932.7444834673,14978.893336505898,14920.52961991225,14991.10820006095
Meghalaya,2021,15365.0323563374,15313.436370098427,15416.628342576374,15286.123104853446,15443.941607821354
Meghalaya,2022,15774.245802688201,15687.909204256697,15860.582401119706,15642.205369807503,15906.2862355689
Meghalaya,2023,16183.459249039002,16057.075409977853,16309.843088100151,15990.17184691836,16376.746651159645
Meghalaya,2024,16592.672695389803,16421.548168346784,16763.797222432822,16330.960315729733,16854.38507504987
Meghalaya,2025,17001.886141740604,16781.770141670873,17222.002141810335,16665.247769819645,17338.524513661563
Meghalaya,2026,17411.099588091405,17138.079291616534,17684.119884566277,16993.551076953812,17828.648099228998
Meghalaya,2027,17820.313034442206,17490.74430340773,18149.881765476683,17316.2811557221,18324.344913162313
Meghalaya,2028,18229.526480793007,17839.985327164246,18619.067634421768,17633.774696678014,18825.278264908
Meghalaya,2029,18638.739927143808,18185.986985364438,19091.49286892318,17946.314055536346,19331.16579875127
Meghalaya,2030,19047.95337349461,18528.906983898836,19566.99976309038,18254.140422643155,19841.766324346063
Mizoram,2020,5799.090058434769,5786.717646217717,5811.462470651822,5780.168086819058,5818.0120300504805
Mizoram,2021,6001.651234256068,5973.98567949309,6029.316789019046,5959.340419455015,6043.9620490571215
Mizoram,2022,6204.212410077367,6157.919082513221,6250.505737641513,6133.412875209113,6275.0119449456215
Mizoram,2023,6406.773585898666,6339.007093278346,6474.540078518987,6303.133679034689,6510.413492762644
Mizoram,2024,6609.334761719965,6517.578496954138,6701.091026485792,6469.005664450657,6749.663858989274
Mizoram,2025,6811.895937541264,6693.870647241903,6929.921227840626,6631.391832618003,6992.4000424645255
Mizoram,2026,7014.457113362563,6868.064757791607,7160.849468933519,6790.569325898369,7238.344900826757
Mizoram,2027,7217.018289183862,7040.3048965108455,7393.731681856879,6946.758477142813,7487.278101224912
Mizoram,2028,7419.579465005161,7210.709106984762,7628.44982302556,7100.139818435808,7739.019111574515
Mizoram,2029,7622.14064082646,7379.376383023883,7864.904898629037,7250.864747745677,7993.416533907243
Mizoram,2030,7824.701816647759,7546.391285875486,8103.012347420033,7399.062590340015,8250.341042955504
Nagaland,2020,9601.459532162819,9582.481458241406,9620.437606084231,9572.435072763794,9630.483991561843
Nagaland,2021,9738.196208720428,9711.357159193049,9765.035258247808,9697.14942459778,9779.242992843077
Nagaland,2022,9874.932885278036,9842.061897016352,9907.80387353972,9824.661046936704,9925.204723619368
Nagaland,2023,10011.669561835646,9973.713413992822,10049.62570967847,9953.620643037595,10069.718480633697
Nagaland,2024,10148.406238393254,10105.969975022961,10190.842501763547,10083.505574166851,10213.306902619657
Nagaland,2025,10285.142914950864,10238.656317542584,10331.629512359144,10214.047799363125,10356.238030538603
Nagaland,2026,10421.879591508472,10371.668327549416,10472.090855467528,10345.08809000056,10498.671093016384
Nagaland,2027,10558.616268066082,10504.938169011322,10612.294367120841,10476.522699820784,10640.70983631138
Nagaland,2028,10695.35294462369,10638.418722859453,10752.287166387927,10608.279566426614,10782.426322820766
Nagaland,2029,10832.0896211813,10772.075681986595,10892.103560376005,10740.306221625298,10923.873020737301
Nagaland,2030,10968.826297738908,10905.883147297955,11031.76944817986,10872.563056169436,11065.08953930838
Odisha,2020,316210.85897271207,314718.48784766794,317703.2300977562,313928.47429518955,318493.2436502346
Odisha,2021,325660.7374019781,322323.6941187216,328997.78068523464,320557.1701122338,330764.30469172244
Odisha,2022,335110.61583124415,329526.67438741465,340694.55727507366,326570.71434313233,343650.517319356
Odisha,2023,344560.4942605102,336386.44096694986,352734.54755407054,332059.35853267775,357061.62998834264
Odisha,2024,354010.37268977624,342942.65221003874,365078.09316951374,337083.7548973633,370936.99048218917
Odisha,2025,363460.2511190423,349223.93792661926,377696.5643114653,341687.68895302113,385232.8132850634
Odisha,2026,372910.1295483083,355252.15626479796,390568.1028318187,345904.58985241357,399915.6692442031
Odisha,2027,382360.00797757437,361044.68482092116,403675.33113422757,349761.0343357143,414958.98161943443
Odisha,2028,391809.8864068404,366615.76211492147,417004.01069875935,353278.7983400073,430340.9744736735
Odisha,2029,401259.76483610645,371977.3288663445,430542.2008058684,356476.14361994073,446043.38605227217
Odisha,2030,410709.6432653725,377139.58492640126,444279.7016043437,359368.66950179887,462050.6170289461
Punjab,2020,262953.1131924653,259915.66930427388,265990.55708065664,258307.7436373303,267598.48274760024
Punjab,2021,270171.50236954854,265875.908027921,274467.0967111761,263601.9577424416,276741.04699665547
Punjab,2022,277389.8915466318,272128.8844071448,282650.89868611883,269343.87545720447,285435.90763605916
Punjab,2023,284608.28072371514,278533.39294733235,290683.16850009793,275317.54161344527,293899.019833985
Punjab,2024,291826.6699007984,285034.7388889612,298618.6009126356,281439.3077949087,302214.0320066881
Punjab,2025,299045.0590778817,291604.8714294774,306485.24672628596,287666.27400114137,310423.844154622
Punjab,2026,306263.44825496495,298227.12710549746,314299.76940443245,293972.95566408715,318553.94084584276
Punjab,2027,313481.8374320483,304890.64874879323,322073.02611530334,300342.74817783444,326620.92668626213
Punjab,2028,320700.22660913155,311587.8949445574,329812.5582737057,306764.1179437267,334636.3352745364
Punjab,2029,327918.6157862148,318313.3748345722,337523.85673785745,313228.6674187852,342608.56415364443
Punjab,2030,335137.0049632981,325062.943264409,345211.06666218716,319730.0571363753,350543.9527902209
Rajasthan,2020,442804.98499720055,438322.5867960933,447287.38319830777,435949.7485207783,449660.2214736228
Rajasthan,2021,455425.60117173614,449086.5328437735,461764.6694996988,445730.8327735051,465120.36956996715
Rajasthan,2022,468046.2173462717,460282.47592219856,475809.9587703448,456172.599471209,479919.83522133436
Rajasthan,2023,480666.8335208072,471702.0371185927,489631.6299230217,466956.3605679628,494377.3064736516
Rajasthan,2024,493287.4496953428,483264.50261544425,503310.39677524136,477958.6749322266,508616.224458459
Rajasthan,2025,505908.06586987834,494928.47745319636,516887.6542865603,489116.23443652905,522699.8973032276
Rajasthan,2026,518528.6820444139,506669.3711271208,530387.992961707,500391.431149262,536665.9329395657
Rajasthan,2027,531149.2982189495,518471.1615630242,543827.4348748748,511759.76142248744,550538.8350154115
Rajasthan,2028,543769.91439348506,530322.7197901633,557217.1089968068,523204.2049642184,564335.6238227517
Rajasthan,2029,556390.5305680205,542215.9428726801,570565.1182633609,534712.3694034592,578068.6917325818
Rajasthan,2030,569011.1467425561,554144.7137485194,583877.5797365928,546274.8995011057,591747.3939840066
Sikkim,2020,4094.02496229856,4086.8886503059107,4101.161274291209,4083.110914932787,4104.939009664333
Sikkim,2021,4216.275554594469,4200.318275870259,4232.23283331868,4191.871002774949,4240.680106413989
Sikkim,2022,4338.526146890379,4311.82451240876,4365.227781371998,4297.689520944635,4379.362772836123
Sikkim,2023,4460.776739186289,4421.689548628602,4499.863929743976,4400.998039827154,4520.555438545424
Sikkim,2024,4583.027331482199,4530.1030252788705,4635.951637685527,4502.086589920065,4663.968073044332
Sikkim,2025,4705.277923778109,4637.201846144808,4773.35400141141,4601.16454749479,4809.3913000614275
Sikkim,2026,4827.528516074019,4743.090533862811,4911.966498285226,4698.39176612914,4956.6652660188975
Sikkim,2027,4949.7791083699285,4847.852185691415,5051.706031048442,4793.895332113144,5105.662884626713
Sikkim,2028,5072.029700665838,4951.554888260578,5192.504513071099,4887.779374961476,5256.280026370201
Sikkim,2029,5194.280292961748,5054.255740437108,5334.304845486388,4980.131219855193,5408.429366068303
Sikkim,2030,5316.530885257658,5156.003516496585,5477.0582540187315,5071.025460611728,5562.0363099035885
Tamil Nadu,2020,667928.6769228346,656708.8301364537,679148.5237092155,650769.4020215402,685087.951824129
Tamil Nadu,2021,683923.6509795282,668056.39148648025,699790.9104725762,659656.7716936294,708190.530265427
Tamil Nadu,2022,699918.6250362217,680485.2803490716,719351.9697233718,670197.8890861385,729639.3609863049
Tamil Nadu,2023,715913.5990929153,693473.9055201536,738353.292665677,681595.0492903265,750232.1488955041
Tamil Nadu,2024,731908.5731496089,706820.2330381287,756996.9132610891,693539.2680257087,770277.8782735091
Tamil Nadu,2025,747903.5472063024,720420.6475874637,775386.4468251411,705872.079341985,789935.0150706198
Tamil Nadu,2026,763898.521262996,734213.596917985,793583.445608007,718499.3471959787,809297.6953300133
Tamil Nadu,2027,779893.4953196896,748158.9763335936,811628.0143057856,731359.7367478921,828427.2538914871
Tamil Nadu,2028,795888.4693763831,762228.9290172405,829548.0097355257,744410.6446725001,847366.2940802661
Tamil Nadu,2029,811883.4434330768,776403.1725899926,847363.714276161,757621.0517480257,866145.835118128
Tamil Nadu,2030,827878.4174897703,790666.3954940701,865090.4394854705,770967.5409676143,884789.2940119264
Telangana,2020,252655.1715550837,251132.01741951975,254178.32569064767,250325.70832561157,254984.63478455585
Telangana,2021,258726.8515369404,256572.7863008412,260880.91677303961,255432.4930447715,262021.21002910932
Telangana,2022,264798.5315187971,262160.3511682417,267436.7118693525,260763.7828509879,268833.2801866063
